,Unnamed: 0,index,CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle,5,4,3,2,1,Brand,Name,Color,Price
12,12,120,104705-72,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,7548891-375065,7999840-6,8085788-693,7986249-359284,104705-15,Propet,Stability Walker Medicare/HCPCS Code = A5500 Diabetic Shoe,Black Leather,75.96
13,13,121,104705-130551,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather;Nubuck,,7978222-69638,8018168-632,7980002-1413,7587775-404832,104705-72,Propet,Stability Walker Medicare/HCPCS Code = A5500 Diabetic Shoe,Black Leather,75.96
14,14,123,104710-3,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Removable,Hook and Loop,Men,Full-grain leather;Leather,Moc Toe;Round Toe,7879697-321144,7166071-365578,7878806-21766,7898603-12264,104705-130551,,,,
15,15,128,104717-15,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Women,Leather;Nubuck,,7296120-1834,7991222-8674,8036186-284760,8011093-138608,104710-3,Propet,Stability Walker Medicare/HCPCS Code = A5500 Diabetic Shoe,White Leather,89.95
16,16,129,104717-72,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Women,Leather;Nubuck,,7296120-1834,7967016-5291,7294465-408,7815628-395151,104717-15,Propet,Stability Walker Medicare/HCPCS Code = A5500 Diabetic Shoe,Black Leather,104.95
17,17,130,104719-3,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Women,Leather,Moc Toe;Round Toe,7999551-363840,7836532-9,8073899-18591,8036538-159595,104717-72,,,,
18,18,131,104719-14,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Women,Leather,Moc Toe;Round Toe,8034692-183092,7891836-326168,7966110-366835,7892412-20422,104719-3,,,,
19,19,174,105805-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather,Bicycle Toe;Round Toe;Closed Toe,8034692-183092,8015656-506,7987744-332265,7881997-355824,104719-14,Easy Spirit,AP1,Black,59.99
20,20,175,105805-15,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather,Bicycle Toe;Round Toe;Closed Toe,8063919-384953,7929181-353959,7841199-307048,8029583-40307,105805-3,Easy Spirit,AP1,Black,59.99
21,21,196,106070-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Women,Leather;Nylon;Rubber;Terry,,7553452-559,7980202-401,7186908-3941,7810699-8984,105805-15,,,,
22,22,197,106070-14,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Women,Leather;Nylon;Rubber;Terry,,7548891-375065,7523346-41549,7989623-360564,7969451-3303,106070-3,,,,
23,23,206,106667-751,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Removable,Lace up,Women,Faux Leather;Mesh;Synthetic,,7898404-329101,7881847-322366,7999767-8962,7982234-357840,106070-14,,,,
24,24,246,107999-3,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7764678-367902,7765867-755,7716143-338201,7975704-367739,106667-751,,,,
25,25,247,107999-9,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,8067873-28814,8014789-3836,126799-14074,7942195-324786,107999-3,,,,
26,26,248,107999-14,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7911245-1001,7240278-3,7881691-322311,7919046-334642,107999-9,,,,
27,27,249,107999-559,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7885702-920,8044097-377289,7939191-316945,7925447-337555,107999-14,,,,
28,28,250,107999-585,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,8034692-183092,7495425-213915,7292926-375389,7883212-323041,107999-559,,,,
29,29,251,107999-3123,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,7997010-460,7579608-38877,121760-3,7980647-754,107999-585,,,,
30,30,252,107999-3124,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Canvas,,8067873-28814,7977910-3,7973593-3,7469538-26683,107999-3123,,,,
31,31,253,108000-3,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7548891-375065,7518278-30292,8016070-515,7881709-91151,107999-3124,Converse,Chuck Taylor® All Star® Core Ox,Optical White,30.00
32,32,254,108000-9,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,8041652-151,7979667-373822,7243787-183092,8029748-92872,108000-3,Converse,Chuck Taylor® All Star® Core Ox,Optical White,30.00
33,33,255,108000-14,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,8034692-183092,8070496-346220,7881344-4820,7630905-552,108000-9,Converse,Chuck Taylor® All Star® Core Ox,Optical White,30.00
34,34,256,108000-559,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7296120-1834,8044480-287728,7294835-158667,8002046-3,108000-14,Converse,Chuck Taylor® All Star® Core Ox,Optical White,30.00
35,35,257,108000-585,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7997010-460,7606075-132968,7215638-767,7728036-1066,108000-559,Converse,Chuck Taylor® All Star® Core Ox,Optical White,30.00
36,36,258,108000-3123,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,8067873-28814,7931265-3,8073899-1001,7813370-178603,108000-585,Converse,Chuck Taylor® All Star® Core Ox,Optical White,30.00
37,37,259,108000-3124,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Canvas,,7885702-920,8140605-271674,7876833-315319,8034499-374551,108000-3123,Converse,Chuck Taylor® All Star® Core Ox,Optical White,30.00
38,38,270,108195-2507,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Padded;Removable,Lace up,Women,Faux Leather;Rubber;Synthetic,,7786780-755,7755311-334648,7975663-373701,7617213-5716,108000-3124,,,,
39,39,300,109571-15,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,Round Toe,7997010-460,7975432-388913,7705393-374666,8004063-365064,108195-2507,Keds,Champion Slip On,White Leather,64.95
40,40,301,109572-9,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Canvas,Round Toe,7296120-1834,7892195-326323,7727998-2507,7909364-215587,109571-15,Keds,Champion Slip On,White Canvas,54.95
41,41,302,109573-15,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Leather,Round Toe,7548891-375065,7723036-8287,7493373-301558,8021786-370577,109572-9,Keds,Champion Leather Lace Up,White Leather,64.95
42,42,303,109573-72,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Leather,Round Toe,7594567-289850,7976296-354101,8016650-271095,7826901-3,109573-15,Keds,Champion Leather Lace Up,Black Leather,64.95
43,43,313,110227-221278,Shoes,Sneakers and Athletic Shoes,Flat,Leather;Padded;Textile,Lace up,Men;Women,Leather;Rubber;Suede,,7764678-367902,8047008-377479,7760713-337342,7892972-815,109573-72,,,,
44,44,355,113232-3605,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,7898404-329101,7925062-356559,7740329-33900,7799235-59631,110227-221278,,,,
45,45,359,113569-2911,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Full-grain leather,,7997010-460,7664532-7778,8074232-742,8117604-404956,113232-3605,,,,
46,46,392,113779-5877,Shoes,Sneakers and Athletic Shoes,,Removable,Lace up,Men,Mesh,,7764678-367902,7171208-3124,7328707-69725,7718558-262734,113569-2911,,,,
47,47,393,113952-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,7976234-220713,8050326-29103,7975690-380440,7906926-4854,113779-5877,,,,
48,48,394,113952-9,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,8004011-365039,7548854-375100,7716992-356713,7769262-37941,113952-3,,,,
49,49,395,113952-585,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,7879262-320809,7883255-355284,7383355-272438,7892370-373670,113952-9,,,,
50,50,396,113952-3932,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,8034692-183092,7928043-356018,7973574-292952,7493373-301558,113952-585,,,,
51,51,397,113952-276376,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Canvas,,7898404-329101,7973648-6972,7847731-632,8081651-1412,113952-3932,,,,
52,52,412,115074-6370,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Men,Leather;Rubber,Capped Toe;Round Toe,7896178-328376,7720505-349491,7761678-280467,7951993-596,113952-276376,,,,
53,53,415,115191-151,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,7296120-1834,7892108-53835,7868362-107874,7931190-10623,115074-6370,adidas,Samba® Classic,Black/White,89.95
54,54,416,115191-7968,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,7802931-371535,7975961-372080,8114449-20,7879514-370570,115191-151,adidas,Samba® Classic,Running White/Black,89.95
55,55,430,116001-401,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Leather;Mesh;Suede,,7594567-289850,7976946-356005,8016207-139,8050124-29674,115191-7968,,,,
56,56,439,117349-151,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Leather,Round Toe,7978222-69638,7608741-384885,8050355-118944,7617195-7446,116001-401,adidas,Copa Mundial,Black/White,169.95
57,57,443,117623-3,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7898404-329101,8015656-506,8024107-122178,8071998-389427,117349-151,,,,
58,58,444,117623-1528,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7764678-367902,7982226-396484,7548854-389205,7660050-183092,117623-3,,,,
59,59,445,117623-19673,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7911245-1001,7657728-35618,7946372-344385,7987131-377163,117623-1528,,,,
60,60,446,117623-40591,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7698880-3,7928575-339187,7587801-367530,7162892-12919,117623-19673,,,,
61,61,447,117623-95199,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,8034692-183092,7873325-386572,7170383-2906,7893686-304025,117623-40591,,,,
62,62,448,117623-134719,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,7885702-920,7942209-343155,7985091-236330,7503678-293880,117623-95199,,,,
63,63,449,117623-282804,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7841215-3,8074588-390397,7815408-325846,7138249-16740,117623-134719,,,,
64,64,450,117623-326901,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,8012384-366981,7748638-43774,8074141-390167,7830446-9,117623-282804,,,,
65,65,451,117623-326921,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,8034692-183092,7911253-1001,8074624-123447,7816435-3,117623-326901,,,,
66,66,452,117623-353106,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7925401-337485,7984110-147,8058004-2105,8073905-282736,117623-326921,,,,
67,67,453,117623-375233,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,7997010-460,7965341-367459,8056851-382166,8085790-14,117623-353106,,,,
68,68,454,117623-375234,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,7548891-375065,8019066-385971,7980945-357529,7964683-367157,117623-375233,,,,
69,69,482,118889-14,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,,7765346-744,7883524-294051,7898608-3,7657567-160792,117623-375234,,,,
70,70,483,118889-151,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,,8067873-28814,7999814-6,7334943-849,7887863-267848,118889-14,,,,
71,71,484,118889-640,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,,7997010-460,7973535-12119,8053552-3992,7657566-26055,118889-151,,,,
72,72,485,118889-4463,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,,7919188-334676,7294465-408,7942122-144,7931232-38877,118889-640,,,,
73,73,496,118989-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,7885702-920,8007647-365826,7925060-370094,7679221-369199,118889-4463,Rockport,ProWalker M7100,Black,74.95
74,74,497,118989-14,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,8034692-183092,7910295-332287,7864609-315248,7863461-349419,118989-3,Rockport,ProWalker M7100,White,79.95
75,75,498,118989-716,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,7802931-371535,7913632-49841,8067874-2563,7980002-6124,118989-14,Rockport,ProWalker M7100,Black,74.95
76,76,503,119043-815,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Nylon;Rubber,,7594567-289850,7548855-389205,7271189-14,8056490-371136,118989-716,,,,
77,77,504,119505-1412,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,EVA;Orthotic Friendly;Padded;Removable,Lace up,Women,,,8073839-390089,7887918-139,7975775-3,7588995-366946,119043-815,,,,
78,78,516,120421-506,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Padded;Removable,Lace up,Men,Faux Leather;Mesh;Synthetic,,7594567-289850,105805-15,7875589-744,8036329-292630,119505-1412,,,,
79,79,525,121760-3,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather,Moc Toe;Round Toe,7764678-367902,7213526-385246,7414348-3,7977953-2557,120421-506,,,,
80,80,526,121760-14,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather,Moc Toe;Round Toe,7553452-559,7786224-375351,8046918-151,8019980-744,121760-3,,,,
81,81,553,124776-751,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather,,8034692-183092,7982164-7646,7992299-670,7983579-425971,121760-14,,,,
82,82,554,124878-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather,Closed Toe,7999551-363840,7886145-12375,7903852-173766,8060618-144,124776-751,,,,
83,83,555,124878-10298,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather,Closed Toe,7978043-384575,8012521-20502,7982038-404848,8017835-292147,124878-3,,,,
84,84,584,125668-3,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,7735313-269485,7631865-326512,8031347-357799,7979518-24150,124878-10298,,,,
85,85,585,125668-9,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,7296120-1834,8067874-2563,7837204-365589,7846830-369435,125668-3,,,,
86,86,586,125668-585,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,7879262-320809,7924194-14,7979349-356976,7975675-2125,125668-9,,,,
87,87,587,125668-24154,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,7765346-744,8020170-369900,7892155-349584,7993014-6,125668-585,,,,
88,88,588,125668-38877,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,8034692-183092,7998252-18,7626936-14,8055680-8674,125668-24154,,,,
89,89,589,125668-183092,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,7898404-329101,8046492-1413,8038255-385,7799169-383199,125668-38877,,,,
90,90,590,125668-293798,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,7898404-329101,7975680-355248,7587775-404832,7878789-390077,125668-183092,,,,
91,91,591,126018-3,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Boys,Leather,Bump Toe,7885702-920,7608741-200674,7887842-374535,7983579-425971,125668-293798,,,,
92,92,592,126018-15,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Boys,Leather,Bump Toe,8034692-183092,8094835-151,117623-40591,8057141-365652,126018-3,,,,
93,93,593,126019-15,Shoes,Sneakers and Athletic Shoes,,Padded;Removable;Textile,Hook and Loop,Boys,Leather,Round Toe,7920954-20,8037822-375687,7651258-12784,7277378-237229,126018-15,,,,
94,94,594,126019-72,Shoes,Sneakers and Athletic Shoes,,Padded;Removable;Textile,Hook and Loop,Boys,Leather,Round Toe,7931183-9,7972016-369380,8044189-377364,7950983-9,126019-15,,,,
95,95,602,126799-744,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Leather;Suede,,7765346-744,7549393-20321,7744039-104455,7217919-6191,126019-72,,,,
96,96,603,126799-13679,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Leather;Suede,,7997010-460,7879537-3,7319043-385003,7289976-390391,126799-744,,,,
97,97,604,126799-14074,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Leather;Suede,,7879262-320809,7497497-720,8036890-144,7984130-358676,126799-13679,,,,
98,98,605,126799-85971,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Leather;Suede,,7802931-371535,7977785-1413,7971595-392773,7215638-767,126799-14074,,,,
99,99,606,126799-348869,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Leather;Suede,,7898404-329101,7917557-334301,7713549-755,7679221-351017,126799-85971,,,,
100,100,692,7129536-5078,Shoes,Sneakers and Athletic Shoes,,EVA;Leather;Padded,Lace up,Women,Leather;Rubber,,8067873-28814,8036491-394907,7973161-390200,7981381-165791,126799-348869,,,,
101,101,693,7129536-24150,Shoes,Sneakers and Athletic Shoes,,EVA;Leather;Padded,Lace up,Women,Leather;Rubber,,7706782-911,7677928-8464,7976430-390609,8006833-3,7129536-5078,,,,
102,102,698,7130301-366225,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Hook and Loop,Women,Suede,Round Toe;Closed Toe,8067873-28814,7976959-356012,8071656-389227,8026268-371739,7129536-24150,,,,
103,103,700,7131380-63109,Shoes,Sneakers and Athletic Shoes,,,Slip-On,Women,Leather,Round Toe,7898404-329101,7174805-97365,7976328-216395,7986989-46658,7130301-366225,,,,
104,104,714,7132224-5078,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather,Round Toe,7898404-329101,7971741-369317,7993559-395255,8059870-278,7131380-63109,,,,
105,105,715,7132224-24150,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather,Round Toe,7925401-337485,7418942-57103,7864574-315208,8065059-352214,7132224-5078,,,,
106,106,716,7132225-5078,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather,,7997010-460,8047008-151,8033946-9,8025623-371497,7132224-24150,,,,
107,107,717,7132225-24150,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather,,7997010-460,7459724-319011,7970321-377369,8124961-13008,7132225-5078,,,,
108,108,722,7132702-3,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Removable,Lace up,Women,Leather;Rubber,Round Toe,7765346-744,7413930-148598,7787400-351115,7891832-326164,7132225-24150,,,,
109,109,737,7134688-3,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded,Elastic Gore;Slip-On,Women,Leather;Rubber,Round Toe,8034692-183092,7873733-3,7879697-321144,7599376-6720,7132702-3,Nurse Mates,Dove,Black,94.95
110,110,738,7134688-14,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded,Elastic Gore;Slip-On,Women,Leather;Rubber,Round Toe,7886313-6,8067248-7243,8073888-390130,7548854-375100,7134688-3,Nurse Mates,Dove,White,94.95
111,111,739,7134705-3,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Leather;Removable,Lace up,Women,Leather;Rubber,Round Toe,7919188-334676,7428446-25203,7915795-356379,7208702-374400,7134688-14,,,,
112,112,742,7135231-189978,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Men,Faux Leather;Mesh;Nylon,,7997010-460,7931232-3,7896088-285046,7170383-383587,7134705-3,,,,
113,113,744,7135257-31444,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Women,Faux Leather;Mesh,,7885702-920,7886145-62266,7617195-360614,7961033-839,7135231-189978,,,,
114,114,747,7135562-14,Shoes,Sneakers and Athletic Shoes,,Padded,Elastic Gore;Slip-On,Men;Women,Canvas;Leather;Suede,Closed Toe,7886145-62266,7879542-27,7976367-371446,8072663-1165,7135257-31444,,,,
115,115,751,7135983-3,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Faux Leather;Mesh,Round Toe;Snub Toe,7976093-372135,7814492-211289,7964342-367072,7718920-3454,7135562-14,,,,
116,116,752,7136039-3,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Canvas,Round Toe;Snub Toe,7898404-329101,7718835-262853,7969476-84346,7886305-112448,7135983-3,,,,
117,117,753,7136102-9,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Mesh;Suede,Round Toe,8034692-183092,7978043-74063,8014534-44016,7891901-368505,7136039-3,,,,
118,118,754,7136102-85305,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Mesh;Nubuck,,7885702-920,8063886-384942,7883945-368030,7837639-350928,7136102-9,,,,
119,119,758,7136735-20,Shoes,Sneakers and Athletic Shoes,,Leather,Buckle,Women,Leather,Round Toe,8034692-183092,7883255-355284,104705-72,7973249-354106,7136102-85305,Bloch,Tap On Full Sole Tap Shoe,Black,57.00
120,120,759,7136738-3,Shoes,Sneakers and Athletic Shoes,Under 1in,Padded,Lace up,Women,Leather,Round Toe,7698880-3,7229693-3,8034499-374551,7312521-9,7136735-20,Bloch,Tap Flex Split Sole Tap Shoe,Black,109.50
121,121,760,7136746-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Mesh;Suede,Round Toe,7885702-920,7908937-368664,7166039-170977,7646694-106230,7136738-3,Bloch,Boost DRT Mesh Dance Sneaker,Black,88.50
122,122,761,7136746-559,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Mesh;Suede,Round Toe,7997010-460,7729983-632,7973201-354008,7984828-383066,7136746-3,Bloch,Boost DRT Mesh Dance Sneaker,Black,88.50
123,123,775,7138249-16740,Shoes,Sneakers and Athletic Shoes,,,Hook and Loop,Men,Leather,,7885702-920,7971573-353275,8024089-371133,7887020-168,7136746-559,,,,
124,124,791,7138760-3,Shoes,Sneakers and Athletic Shoes,,,Buckle;Slip-On,Girls,Leather,,7997010-460,7927496-199214,7978338-1001,7682775-382669,7138249-16740,,,,
125,125,792,7138760-14,Shoes,Sneakers and Athletic Shoes,,,Buckle;Slip-On,Girls,Leather,,7802931-371535,7976195-45499,7892155-349584,8124232-407039,7138760-3,,,,
126,126,793,7138760-21891,Shoes,Sneakers and Athletic Shoes,,,Buckle;Slip-On,Girls,Leather,,7898404-329101,7969732-6608,8069594-387980,7978195-356544,7138760-14,,,,
127,127,795,7139085-84,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,,Bungee;Hook and Loop;Slip-On,Women,Mesh;Nubuck;Suede,Round Toe,7925401-337485,7648532-15,7977266-388950,8016718-368667,7138760-21891,,,,
