,index,CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle,1,2,3,4
53,415,115191-151,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,7836531-307048,8013374-367321,7983893-358487,8058559-3
54,416,115191-7968,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,8021519-370485,8073899-1001,7931252-14,7799169-383199
55,430,116001-401,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Leather;Mesh;Suede,,7925413-337505,7909019-331826,7535575-194935,7729833-585
56,439,117349-151,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Leather,Round Toe,7696311-1001,7836531-307048,8036504-394906,7208295-20321
57,443,117623-3,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7208295-20321,7931252-14,8036504-394906,7887842-839
58,444,117623-1528,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7983410-358204,7942182-6,8124965-16931,7961032-147
59,445,117623-19673,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7696311-1001,7226411-382555,8036504-394906,7208295-20321
60,446,117623-40591,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7813934-183092,7925394-370353,7673191-744,7879009-320634
61,447,117623-95199,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7965537-385250,8080294-168,7761867-8768,7651819-320474
62,448,117623-134719,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,8036504-394906,7208295-20321,7696311-1001,7226411-382555
63,449,117623-282804,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,8080294-168,8021519-370486,8036504-394906,7208295-20321
64,450,117623-326901,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7925413-337505,7370409-15,7836531-307048,8036504-394906
65,451,117623-326921,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7983893-358487,8080294-168,7696311-1001,7208295-20321
66,452,117623-353106,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,7983893-358487,7931252-14,7887842-839,7798384-24150
67,453,117623-375233,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,7226411-382555,7977827-324022,8036504-394906,7983400-358201
68,454,117623-375234,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,7965537-385250,8080294-168,8036504-394906,7836531-307048
69,482,118889-14,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,,7931252-14,8036504-394906,7836531-307048,7987890-359861
70,483,118889-151,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,,7887842-839,7983893-358487,7208295-20321,7931252-14
71,484,118889-640,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,,7971870-385615,8036504-394906,8004174-9,8078902-391914
72,485,118889-4463,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather,,7977827-324022,7255074-385219,8143761-3,7208295-20321
73,496,118989-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,7696311-1001,7965537-385250,8013374-367321,7294452-751
74,497,118989-14,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,7971870-385615,7814492-326309,7973122-183092,7255074-385205
75,498,118989-716,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,8036504-394906,8080294-168,7983893-358487,7965537-385250
76,503,119043-815,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Nylon;Rubber,,7925413-337505,7931252-14,7983893-358487,7942187-3
77,504,119505-1412,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,EVA;Orthotic Friendly;Padded;Removable,Lace up,Women,,,7931252-14,7887842-839,8036504-394906,7836531-307048
78,516,120421-506,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Padded;Removable,Lace up,Men,Faux Leather;Mesh;Synthetic,,8080294-168,7696311-1001,8020448-401,7208295-20321
79,525,121760-3,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather,Moc Toe;Round Toe,7696311-1001,7466209-9,7878420-29629,8080294-168
80,526,121760-14,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather,Moc Toe;Round Toe,7793065-6553,8164779-65259,8032943-151,8074609-390430
81,553,124776-751,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather,,7887842-839,7255074-385219,8077616-142648,8036504-394906
82,554,124878-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather,Closed Toe,7696311-1001,8036504-394906,7987890-359861,8078902-391914
83,555,124878-10298,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather,Closed Toe,7931252-14,7887842-839,7836531-307048,8080294-168
84,584,125668-3,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,8080294-168,8073899-1001,7836531-307048,8021519-370485
85,585,125668-9,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,8029658-632,7732020-268420,7931252-14,7648875-1842
86,586,125668-585,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,7255074-385219,7931252-14,8020448-401,8077616-142648
87,587,125668-24154,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,7208295-20321,7696311-1001,8020448-401,8036504-394906
88,588,125668-38877,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,8080294-168,7651819-320474,7208295-20321,8021519-370486
89,589,125668-183092,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,8036504-394906,7887842-839,7836531-307048,7983893-358487
90,590,125668-293798,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Canvas,,8080294-168,8021519-370485,7588605-109556,7836531-307048
91,591,126018-3,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Boys,Leather,Bump Toe,8078902-391914,7929650-37647,7836531-307048,8113323-401
92,592,126018-15,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Boys,Leather,Bump Toe,7931252-14,7696311-1001,7255074-385219,7553554-2125
93,593,126019-15,Shoes,Sneakers and Athletic Shoes,,Padded;Removable;Textile,Hook and Loop,Boys,Leather,Round Toe,7255074-385219,7977827-324022,8020448-401,7226411-382555
94,594,126019-72,Shoes,Sneakers and Athletic Shoes,,Padded;Removable;Textile,Hook and Loop,Boys,Leather,Round Toe,8036504-394906,7925413-337505,7696311-1001,7208295-20321
95,602,126799-744,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Leather;Suede,,7696311-1001,7977827-324022,7987890-359861,7996978-373825
96,603,126799-13679,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Leather;Suede,,8080294-168,7929650-37647,7160197-69241,7878420-29629
97,604,126799-14074,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men;Women,Leather;Suede,,8113323-401,7696311-1001,7226411-382555,7732020-268420
98,605,126799-85971,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Leather;Suede,,7820176-325,7430278-375068,7292926-183092,7824816-334452
99,606,126799-348869,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Leather;Suede,,8080294-168,7226411-382555,8021519-370486,8077616-142648
100,692,7129536-5078,Shoes,Sneakers and Athletic Shoes,,EVA;Leather;Padded,Lace up,Women,Leather;Rubber,,7651819-320474,7983410-358204,8013374-367321,7292926-183092
101,693,7129536-24150,Shoes,Sneakers and Athletic Shoes,,EVA;Leather;Padded,Lace up,Women,Leather;Rubber,,7696311-1001,8078902-391914,8070487-388397,7931252-14
102,698,7130301-366225,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Hook and Loop,Women,Suede,Round Toe;Closed Toe,7255074-385219,8020448-401,7696311-1001,7226411-382555
103,700,7131380-63109,Shoes,Sneakers and Athletic Shoes,,,Slip-On,Women,Leather,Round Toe,7896028-345922,8080294-168,7931187-9,8021519-370485
104,714,7132224-5078,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather,Round Toe,8080294-168,7836531-307048,8021519-370485,8118229-405177
105,715,7132224-24150,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather,Round Toe,8080294-168,7983893-358487,7931252-14,7686842-136469
106,716,7132225-5078,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather,,7696311-1001,7983893-358487,7226411-382555,7255074-385219
107,717,7132225-24150,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Leather,,8036504-394906,8024348-18402,7208295-20321,7761867-8768
108,722,7132702-3,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Removable,Lace up,Women,Leather;Rubber,Round Toe,8080294-168,8036504-394906,7836531-307048,8124965-16931
109,737,7134688-3,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded,Elastic Gore;Slip-On,Women,Leather;Rubber,Round Toe,7931252-14,7983410-358204,8021519-370485,7787388-287488
110,738,7134688-14,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded,Elastic Gore;Slip-On,Women,Leather;Rubber,Round Toe,7909019-331826,7925413-337505,7575976-238625,7805192-31878
111,739,7134705-3,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Leather;Removable,Lace up,Women,Leather;Rubber,Round Toe,7983400-358201,7950947-115083,7908184-368242,8024348-18402
112,742,7135231-189978,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Men,Faux Leather;Mesh;Nylon,,7208295-20321,8077616-142648,8029424-128267,7931252-14
113,744,7135257-31444,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Women,Faux Leather;Mesh,,7911248-1001,7292925-421,7651819-320474,8080294-168
114,747,7135562-14,Shoes,Sneakers and Athletic Shoes,,Padded,Elastic Gore;Slip-On,Men;Women,Canvas;Leather;Suede,Closed Toe,8080294-168,8036504-394906,7294452-751,8013374-367321
115,751,7135983-3,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Faux Leather;Mesh,Round Toe;Snub Toe,8029424-128267,7892350-326505,7977827-324022,7942182-6
116,752,7136039-3,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Canvas,Round Toe;Snub Toe,8021519-370485,8080294-168,7799169-383199,8058559-3
117,753,7136102-9,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Mesh;Suede,Round Toe,7911248-1001,7929650-37647,8013437-27389,8028463-65215
118,754,7136102-85305,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Mesh;Nubuck,,8036504-394906,8080294-168,7696311-1001,7983893-358487
119,758,7136735-20,Shoes,Sneakers and Athletic Shoes,,Leather,Buckle,Women,Leather,Round Toe,7226411-382555,7977827-324022,8036504-394906,7965537-385250
120,759,7136738-3,Shoes,Sneakers and Athletic Shoes,Under 1in,Padded,Lace up,Women,Leather,Round Toe,8021519-370485,7696311-1001,8124965-16931,8080294-168
121,760,7136746-3,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Mesh;Suede,Round Toe,7983893-358487,8036504-394906,7977827-324022,7255074-385219
122,761,7136746-559,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Mesh;Suede,Round Toe,7836531-307048,8036504-394906,8080294-168,7208295-20321
123,775,7138249-16740,Shoes,Sneakers and Athletic Shoes,,,Hook and Loop,Men,Leather,,8080294-168,7965537-385250,7836531-307048,7651819-320474
124,791,7138760-3,Shoes,Sneakers and Athletic Shoes,,,Buckle;Slip-On,Girls,Leather,,8013374-367321,8124965-16931,7651819-320474,7929650-37647
125,792,7138760-14,Shoes,Sneakers and Athletic Shoes,,,Buckle;Slip-On,Girls,Leather,,8036504-394906,7983893-358487,7208295-20321,7917325-1001
126,793,7138760-21891,Shoes,Sneakers and Athletic Shoes,,,Buckle;Slip-On,Girls,Leather,,8036504-394906,7999840-6,7931252-14,7965537-385250
127,795,7139085-84,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,,Bungee;Hook and Loop;Slip-On,Women,Mesh;Nubuck;Suede,Round Toe,7696311-1001,7732020-268420,8013374-367321,7972853-353906
128,796,7139085-329,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,,Bungee;Hook and Loop;Slip-On,Women,Mesh;Nubuck;Suede,Round Toe,7931252-14,7836531-307048,7983893-358487,7752720-732
129,800,7140341-72,Shoes,Sneakers and Athletic Shoes,,,Buckle,Girls,Leather;Patent Leather,,7696311-1001,8143761-3,7774274-3,7983893-358487
130,811,7141595-22652,Shoes,Sneakers and Athletic Shoes,,EVA;Polyurethane;Removable,Lace up,Men,Leather;Mesh;Rubber,,8082870-4854,7694510-21253,7651656-353870,7942182-6
131,812,7141595-56581,Shoes,Sneakers and Athletic Shoes,,EVA;Polyurethane;Removable,Lace up,Men,Leather;Mesh;Rubber,,7883995-338624,7931252-14,7255074-385219,7836531-307048
132,813,7141659-351223,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Leather;Suede,,7983893-358487,8036504-394906,8113323-401,7732020-268420
133,815,7142409-372310,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Hook and Loop;Lace up,Men,Leather;Suede,,7696311-1001,7836531-307048,8124965-16931,8021519-370485
134,816,7142646-151,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Lace;Leather,Round Toe,7696311-1001,8052983-1412,8030006-373252,7651819-320474
135,817,7144144-151,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Leather;Rubber,,7553554-2125,7983893-358487,8036504-394906,7836531-307048
136,818,7144144-751,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Leather;Rubber,,8074210-79932,7878420-29629,7929650-37647,7973011-136
137,855,7148830-750,Shoes,Sneakers and Athletic Shoes,,Padded,Hook and Loop,Men;Women,Faux Leather;Synthetic,Round Toe,7696311-1001,8036504-394906,8080294-168,7983893-358487
138,869,7149876-2971,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Women,Suede,,7696311-1001,8013374-367321,8019279-369576,7983410-358204
139,870,7149880-7041,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Suede,,8080294-168,8021519-370485,8013374-367321,7983893-358487
140,871,7149880-32938,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men,Suede,,7887842-839,7696311-1001,7977827-324022,7965331-3
141,901,7152964-363221,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Suede,Round Toe;Closed Toe,7977827-324022,8020448-401,8080294-168,7226411-382555
142,902,7152964-367857,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Men;Women,Suede,Round Toe;Closed Toe,7980945-357529,7983410-358204,7651819-320474,8019279-369576
143,903,7153332-1388,Shoes,Sneakers and Athletic Shoes,,Polyurethane;Removable,Lace up,Women,Leather;Rubber,Round Toe,8036504-394906,7208295-20321,7965537-385250,7836531-307048
144,919,7155689-7548,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Lace;Leather;Synthetic,Round Toe,7696311-1001,7836531-307048,7965537-385250,8080294-168
145,920,7155691-7548,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Lace;Polyurethane;Synthetic,Round Toe,7651819-320474,8019279-369576,7983893-358487,7931252-14
146,921,7155838-341306,Shoes,Sneakers and Athletic Shoes,Flat,Leather;Padded,Lace up,Men,Leather;Mesh;Rubber,,7255074-385219,8036504-394906,7226411-382555,8080294-168
147,922,7155838-373316,Shoes,Sneakers and Athletic Shoes,Flat,Leather;Padded,Lace up,Men,Leather;Mesh;Rubber,,7983893-358487,7989468-355369,7887842-839,7428446-29602
148,923,7155963-18,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Canvas;Rubber,Capped Toe,8080294-168,7508782-88410,8036504-394906,7294452-751
149,924,7155963-275,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Canvas;Rubber,Capped Toe,7696311-1001,7931252-14,7508775-241368,7836531-307048
150,925,7155963-396,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Canvas;Rubber,Capped Toe,7255074-385219,8020448-401,7226411-382555,7696311-1001
151,926,7155963-790,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Canvas;Rubber,Capped Toe,7535575-194935,7781506-355341,7740236-1634,7925413-337505
152,927,7155963-955,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Canvas;Rubber,Capped Toe,7208295-20321,7683984-369195,8080294-168,8078902-391914
153,928,7155963-2295,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Canvas;Rubber,Capped Toe,7255074-385219,7887842-839,8020448-401,7987890-359861
154,929,7155963-18055,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Canvas;Rubber,Capped Toe,7255074-385219,7226411-382555,7732020-268420,7696311-1001
155,930,7155963-66263,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men;Women,Canvas;Rubber,Capped Toe,8080294-168,7836531-307048,7983893-358487,8004174-9
